PC write watch started
Watching for writes to $0058-$0059 (emulated PC)

Watching for PC writes...
Frame 14: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 14: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 15: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 16: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 17: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 18: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 18: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 18: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 18: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 18: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 18: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 18: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 18: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 19: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 20: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 21: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 22: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 23: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 24: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 24: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 24: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 24: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 24: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 24: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 24: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 24: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 25: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 26: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 27: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 28: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 29: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 30: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 31: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 31: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 31: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 31: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 31: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 31: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 31: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 31: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 32: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 33: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 34: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 35: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 36: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 37: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 37: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 37: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 37: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 37: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 37: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 37: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 37: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 38: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 39: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 40: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 41: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 42: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 42: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 42: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 42: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 42: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 42: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 42: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 42: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 43: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 43: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 43: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 43: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 43: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 45: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 45: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 45: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 45: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 45: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 45: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 45: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 45: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
