sample,frame,type,emu_pc,emu_a,emu_x,emu_y,emu_sp,emu_status,nmi_ctr,last_nmi,irq_count,int_cond,mapper_bank,cache_idx,info
609,130,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,D5,00,00,00,old=00 new=80 emu_pc=2CB3
610,130,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,D5,80,00,00,count=87
611,131,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,D5,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1000 run=565 render=87 irq6502=43
612,131,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,D5,80,00,00,old=80 new=00 emu_pc=2CB3
613,131,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,D6,00,00,00,emu_pc=2CB3 status=B1 count=44
614,131,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,D6,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
615,131,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,D6,00,00,00,val=00 nmi_ctr=00
616,131,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,D6,00,00,00,old=00 new=80 emu_pc=2B0F
617,131,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,D6,80,00,00,count=88
618,132,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,D6,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1001 run=566 render=88 irq6502=44
619,132,INT_COND,2B5C,00,1D,BE,F2,36,00,00,D6,80,00,00,old=80 new=00 emu_pc=2B5C
620,132,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,D6,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
621,133,FRAME,2CB0,00,1D,BE,F9,31,00,00,D6,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1023 run=578 render=88 irq6502=44
622,133,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,D6,00,00,00,val=01 nmi_ctr=01
623,133,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,D6,00,00,00,old=00 new=80 emu_pc=2CB3
624,133,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,D6,80,00,00,count=89
625,134,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,D6,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1023 run=578 render=89 irq6502=44
626,134,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,D6,80,00,00,old=80 new=00 emu_pc=2CB3
627,134,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,D7,00,00,00,emu_pc=2CB3 status=B1 count=45
628,134,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,D7,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
629,134,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,D7,00,00,00,val=00 nmi_ctr=00
630,134,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,D7,00,00,00,old=00 new=80 emu_pc=2B0F
631,134,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,D7,80,00,00,count=90
632,135,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,D7,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1024 run=579 render=90 irq6502=45
633,135,INT_COND,2B5C,00,1D,BE,F2,36,00,00,D7,80,00,00,old=80 new=00 emu_pc=2B5C
634,135,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,D7,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
635,136,FRAME,2CB0,00,1D,BE,F9,31,00,00,D7,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1046 run=591 render=90 irq6502=45
636,136,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,D7,00,00,00,val=01 nmi_ctr=01
637,136,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,D7,00,00,00,old=00 new=80 emu_pc=2CB3
638,136,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,D7,80,00,00,count=91
639,137,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,D7,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1046 run=591 render=91 irq6502=45
640,137,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,D7,80,00,00,old=80 new=00 emu_pc=2CB3
641,137,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,D8,00,00,00,emu_pc=2CB3 status=B1 count=46
642,137,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,D8,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
643,137,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,D8,00,00,00,val=00 nmi_ctr=00
644,137,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,D8,00,00,00,old=00 new=80 emu_pc=2B0F
645,137,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,D8,80,00,00,count=92
646,138,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,D8,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1047 run=592 render=92 irq6502=46
647,138,INT_COND,2B5C,00,1D,BE,F2,36,00,00,D8,80,00,00,old=80 new=00 emu_pc=2B5C
648,138,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,D8,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
649,139,FRAME,2CB0,00,1D,BE,F9,31,00,00,D8,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1069 run=604 render=92 irq6502=46
650,139,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,D8,00,00,00,val=01 nmi_ctr=01
651,139,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,D8,00,00,00,old=00 new=80 emu_pc=2CB3
652,139,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,D8,80,00,00,count=93
653,140,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,D8,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1069 run=604 render=93 irq6502=46
654,140,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,D8,80,00,00,old=80 new=00 emu_pc=2CB3
655,140,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,D9,00,00,00,emu_pc=2CB3 status=B1 count=47
656,140,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,D9,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
657,140,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,D9,00,00,00,val=00 nmi_ctr=00
658,140,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,D9,00,00,00,old=00 new=80 emu_pc=2B0F
659,140,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,D9,80,00,00,count=94
660,141,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,D9,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1070 run=605 render=94 irq6502=47
661,141,INT_COND,2B5C,00,1D,BE,F2,36,00,00,D9,80,00,00,old=80 new=00 emu_pc=2B5C
662,141,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,D9,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
663,142,FRAME,2CB0,00,1D,BE,F9,31,00,00,D9,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1092 run=617 render=94 irq6502=47
664,142,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,D9,00,00,00,val=01 nmi_ctr=01
665,142,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,D9,00,00,00,old=00 new=80 emu_pc=2CB3
666,142,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,D9,80,00,00,count=95
667,143,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,D9,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1092 run=617 render=95 irq6502=47
668,143,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,D9,80,00,00,old=80 new=00 emu_pc=2CB3
669,143,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,DA,00,00,00,emu_pc=2CB3 status=B1 count=48
670,143,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,DA,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
671,143,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,DA,00,00,00,val=00 nmi_ctr=00
672,143,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,DA,00,00,00,old=00 new=80 emu_pc=2B0F
673,143,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,DA,80,00,00,count=96
674,144,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,DA,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1093 run=618 render=96 irq6502=48
675,144,INT_COND,2B5C,00,1D,BE,F2,36,00,00,DA,80,00,00,old=80 new=00 emu_pc=2B5C
676,144,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,DA,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
677,145,FRAME,2CB0,00,1D,BE,F9,31,00,00,DA,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1115 run=630 render=96 irq6502=48
678,145,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,DA,00,00,00,val=01 nmi_ctr=01
679,145,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,DA,00,00,00,old=00 new=80 emu_pc=2CB3
680,145,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,DA,80,00,00,count=97
681,146,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,DA,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1115 run=630 render=97 irq6502=48
682,146,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,DA,80,00,00,old=80 new=00 emu_pc=2CB3
683,146,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,DB,00,00,00,emu_pc=2CB3 status=B1 count=49
684,146,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,DB,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
685,146,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,DB,00,00,00,val=00 nmi_ctr=00
686,146,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,DB,00,00,00,old=00 new=80 emu_pc=2B0F
687,146,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,DB,80,00,00,count=98
688,147,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,DB,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1116 run=631 render=98 irq6502=49
689,147,INT_COND,2B5C,00,1D,BE,F2,36,00,00,DB,80,00,00,old=80 new=00 emu_pc=2B5C
690,147,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,DB,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
691,148,FRAME,2CB0,00,1D,BE,F9,31,00,00,DB,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1138 run=643 render=98 irq6502=49
692,148,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,DB,00,00,00,val=01 nmi_ctr=01
693,148,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,DB,00,00,00,old=00 new=80 emu_pc=2CB3
694,148,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,DB,80,00,00,count=99
695,149,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,DB,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1138 run=643 render=99 irq6502=49
696,149,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,DB,80,00,00,old=80 new=00 emu_pc=2CB3
697,149,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,DC,00,00,00,emu_pc=2CB3 status=B1 count=50
698,149,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,DC,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
699,149,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,DC,00,00,00,val=00 nmi_ctr=00
700,149,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,DC,00,00,00,old=00 new=80 emu_pc=2B0F
701,149,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,DC,80,00,00,count=100
702,150,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,DC,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1139 run=644 render=100 irq6502=50
703,150,INT_COND,2B5C,00,1D,BE,F2,36,00,00,DC,80,00,00,old=80 new=00 emu_pc=2B5C
704,150,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,DC,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
705,151,FRAME,2CB0,00,1D,BE,F9,31,00,00,DC,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1161 run=656 render=100 irq6502=50
706,151,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,DC,00,00,00,val=01 nmi_ctr=01
707,151,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,DC,00,00,00,old=00 new=80 emu_pc=2CB3
708,151,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,DC,80,00,00,count=101
709,152,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,DC,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1161 run=656 render=101 irq6502=50
710,152,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,DC,80,00,00,old=80 new=00 emu_pc=2CB3
711,152,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,DD,00,00,00,emu_pc=2CB3 status=B1 count=51
712,152,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,DD,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
713,152,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,DD,00,00,00,val=00 nmi_ctr=00
714,152,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,DD,00,00,00,old=00 new=80 emu_pc=2B0F
715,152,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,DD,80,00,00,count=102
716,153,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,DD,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1162 run=657 render=102 irq6502=51
717,153,INT_COND,2B5C,00,1D,BE,F2,36,00,00,DD,80,00,00,old=80 new=00 emu_pc=2B5C
718,153,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,DD,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
719,154,FRAME,2CB0,00,1D,BE,F9,31,00,00,DD,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1184 run=669 render=102 irq6502=51
720,154,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,DD,00,00,00,val=01 nmi_ctr=01
721,154,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,DD,00,00,00,old=00 new=80 emu_pc=2CB3
722,154,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,DD,80,00,00,count=103
723,155,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,DD,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1184 run=669 render=103 irq6502=51
724,155,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,DD,80,00,00,old=80 new=00 emu_pc=2CB3
725,155,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,DE,00,00,00,emu_pc=2CB3 status=B1 count=52
726,155,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,DE,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
727,155,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,DE,00,00,00,val=00 nmi_ctr=00
728,155,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,DE,00,00,00,old=00 new=80 emu_pc=2B0F
729,155,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,DE,80,00,00,count=104
730,156,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,DE,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1185 run=670 render=104 irq6502=52
731,156,INT_COND,2B5C,00,1D,BE,F2,36,00,00,DE,80,00,00,old=80 new=00 emu_pc=2B5C
732,156,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,DE,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
733,157,FRAME,2CB0,00,1D,BE,F9,31,00,00,DE,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1207 run=682 render=104 irq6502=52
734,157,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,DE,00,00,00,val=01 nmi_ctr=01
735,157,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,DE,00,00,00,old=00 new=80 emu_pc=2CB3
736,157,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,DE,80,00,00,count=105
737,158,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,DE,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1207 run=682 render=105 irq6502=52
738,158,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,DE,80,00,00,old=80 new=00 emu_pc=2CB3
739,158,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,DF,00,00,00,emu_pc=2CB3 status=B1 count=53
740,158,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,DF,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
741,158,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,DF,00,00,00,val=00 nmi_ctr=00
742,158,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,DF,00,00,00,old=00 new=80 emu_pc=2B0F
743,158,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,DF,80,00,00,count=106
744,159,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,DF,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1208 run=683 render=106 irq6502=53
745,159,INT_COND,2B5C,00,1D,BE,F2,36,00,00,DF,80,00,00,old=80 new=00 emu_pc=2B5C
746,159,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,DF,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
747,160,FRAME,2CB0,00,1D,BE,F9,31,00,00,DF,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1230 run=695 render=106 irq6502=53
748,160,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,DF,00,00,00,val=01 nmi_ctr=01
749,160,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,DF,00,00,00,old=00 new=80 emu_pc=2CB3
750,160,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,DF,80,00,00,count=107
751,161,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,DF,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1230 run=695 render=107 irq6502=53
752,161,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,DF,80,00,00,old=80 new=00 emu_pc=2CB3
753,161,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,E0,00,00,00,emu_pc=2CB3 status=B1 count=54
754,161,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,E0,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
755,161,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,E0,00,00,00,val=00 nmi_ctr=00
756,161,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,E0,00,00,00,old=00 new=80 emu_pc=2B0F
757,161,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,E0,80,00,00,count=108
758,162,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,E0,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1231 run=696 render=108 irq6502=54
759,162,INT_COND,2B5C,00,1D,BE,F2,36,00,00,E0,80,00,00,old=80 new=00 emu_pc=2B5C
760,162,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,E0,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
761,163,FRAME,2CB0,00,1D,BE,F9,31,00,00,E0,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1253 run=708 render=108 irq6502=54
762,163,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,E0,00,00,00,val=01 nmi_ctr=01
763,163,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,E0,00,00,00,old=00 new=80 emu_pc=2CB3
764,163,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,E0,80,00,00,count=109
765,164,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,E0,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1253 run=708 render=109 irq6502=54
766,164,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,E0,80,00,00,old=80 new=00 emu_pc=2CB3
767,164,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,E1,00,00,00,emu_pc=2CB3 status=B1 count=55
768,164,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,E1,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
769,164,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,E1,00,00,00,val=00 nmi_ctr=00
770,164,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,E1,00,00,00,old=00 new=80 emu_pc=2B0F
771,164,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,E1,80,00,00,count=110
772,165,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,E1,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1254 run=709 render=110 irq6502=55
773,165,INT_COND,2B5C,00,1D,BE,F2,36,00,00,E1,80,00,00,old=80 new=00 emu_pc=2B5C
774,165,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,E1,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
775,166,FRAME,2CB0,00,1D,BE,F9,31,00,00,E1,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1276 run=721 render=110 irq6502=55
776,166,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,E1,00,00,00,val=01 nmi_ctr=01
777,166,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,E1,00,00,00,old=00 new=80 emu_pc=2CB3
778,166,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,E1,80,00,00,count=111
779,167,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,E1,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1276 run=721 render=111 irq6502=55
780,167,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,E1,80,00,00,old=80 new=00 emu_pc=2CB3
781,167,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,E2,00,00,00,emu_pc=2CB3 status=B1 count=56
782,167,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,E2,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
783,167,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,E2,00,00,00,val=00 nmi_ctr=00
784,167,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,E2,00,00,00,old=00 new=80 emu_pc=2B0F
785,167,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,E2,80,00,00,count=112
786,168,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,E2,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1277 run=722 render=112 irq6502=56
787,168,INT_COND,2B5C,00,1D,BE,F2,36,00,00,E2,80,00,00,old=80 new=00 emu_pc=2B5C
788,168,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,E2,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
789,169,FRAME,2CB0,00,1D,BE,F9,31,00,00,E2,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1299 run=734 render=112 irq6502=56
790,169,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,E2,00,00,00,val=01 nmi_ctr=01
791,169,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,E2,00,00,00,old=00 new=80 emu_pc=2CB3
792,169,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,E2,80,00,00,count=113
793,170,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,E2,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=1299 run=734 render=113 irq6502=56
794,170,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,E2,80,00,00,old=80 new=00 emu_pc=2CB3
795,170,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,E3,00,00,00,emu_pc=2CB3 status=B1 count=57
796,170,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,E3,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
797,170,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,E3,00,00,00,val=00 nmi_ctr=00
798,170,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,E3,00,00,00,old=00 new=80 emu_pc=2B0F
799,170,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,E3,80,00,00,count=114
800,171,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,E3,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=1300 run=735 render=114 irq6502=57
801,171,INT_COND,2B5C,00,1D,BE,F2,36,00,00,E3,80,00,00,old=80 new=00 emu_pc=2B5C
802,171,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,E3,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
803,172,FRAME,2CB0,00,1D,BE,F9,31,00,00,E3,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=1322 run=747 render=114 irq6502=57
804,172,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,E3,00,00,00,val=01 nmi_ctr=01
805,172,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,E3,00,00,00,old=00 new=80 emu_pc=2CB3
806,172,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,E3,80,00,00,count=115
