PC write watch started - logging ALL writes
Watching for writes to $0058-$0059 (emulated PC)

Watching for PC writes (capped at 500)...
Frame 16: PC_LO = $07, Full PC = $0007
Frame 16: PC_LO = $08, Full PC = $0008
Frame 16: PC_LO = $00, Full PC = $0000
Frame 16: PC_LO = $02, Full PC = $0002
Frame 16: PC_LO = $03, Full PC = $0003
Frame 16: PC_LO = $04, Full PC = $0004
Frame 16: PC_LO = $06, Full PC = $0006
Frame 16: PC_LO = $07, Full PC = $0007
Frame 16: PC_LO = $08, Full PC = $0008
Frame 16: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 17: PC_LO = $08, Full PC = $0008
Frame 17: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 17: PC_LO = $08, Full PC = $0008
Frame 17: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 17: PC_LO = $08, Full PC = $0008
Frame 17: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 17: PC_LO = $08, Full PC = $0008
Frame 17: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 17: PC_LO = $08, Full PC = $0008
Frame 17: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
